extract1,extract2,extract3,extract4,extract5,extract6,pcrSV019,pcrSV020,pcrSV021,pcrTM018,pcrSV023,pcrSV016,prcSV017,pcrSV018,neg_water_Laelae,neg_water_BarangBaringan,neg_water_K.keke,neg_water_Samalona,neg_water_Langkadea,neg_water_Karanrang,neg_water_Langkai,neg_water_Badi,neg_water_Kapoposang,neg_water_Lumulumu,neg_water_Polewali,neg_water_Padjenekang,neg_aqua
,,,,,,UPG-EG22-S083,UPG-EG22-S083,UPG-EG22-S083,,UPG-EG22-W075,UPG-EG22-W167,UPG-EG22-W259,UPG-EG22-W348,,,,,,,,,,,,,
,,,,,,UPG-EG22-S084,UPG-EG22-S084,UPG-EG22-S084,,UPG-EG22-W078,UPG-EG22-W170,UPG-EG22-W262,UPG-EG22-W351,,,,,,,,,,,,,
,,,,,,UPG-EG22-S085,UPG-EG22-S085,UPG-EG22-S085,,UPG-EG22-W081,UPG-EG22-W173,UPG-EG22-W265,UPG-EG22-W354,,,,,,,,,,,,,
,,,,,,UPG-EG22-S086,UPG-EG22-S086,UPG-EG22-S086,,UPG-EG22-W084,UPG-EG22-W176,UPG-EG22-W268,UPG-EG22-W357,,,,,,,,,,,,,
,,,,,,UPG-EG22-S087,UPG-EG22-S087,UPG-EG22-S087,,UPG-EG22-W087,UPG-EG22-W179,UPG-EG22-W271,UPG-EG22-W360,,,,,,,,,,,,,
,,,,,,UPG-EG22-S088,UPG-EG22-S088,UPG-EG22-S088,,UPG-EG22-W090,UPG-EG22-W182,UPG-EG22-W274,UPG-EG22-W363,,,,,,,,,,,,,
,,,,,,UPG-EG22-S089,UPG-EG22-S089,UPG-EG22-S089,,UPG-EG22-W093,UPG-EG22-W185,UPG-EG22-W022,UPG-EG22-W366,,,,,,,,,,,,,
,,,,,,UPG-EG22-S090,UPG-EG22-S090,UPG-EG22-S090,,UPG-EG22-W096,UPG-EG22-W343,UPG-EG22-W019,UPG-EG22-W379,,,,,,,,,,,,,
,,,,,,UPG-EG22-S091,UPG-EG22-S091,UPG-EG22-S091,,UPG-EG22-W344,UPG-EG22-W023,UPG-EG22-W238,UPG-EG22-W380,,,,,,,,,,,,,
,,,,,,UPG-EG22-S092,UPG-EG22-S092,UPG-EG22-S092,,UPG-EG22-W375,UPG-EG22-W371,UPG-EG22-W367,UPG-EG22-W381,,,,,,,,,,,,,
,,,,,,UPG-EG22-S093,UPG-EG22-S093,UPG-EG22-S093,,UPG-EG22-W376,UPG-EG22-W372,UPG-EG22-W368,UPG-EG22-W382,,,,,,,,,,,,,
,,,,,,UPG-EG22-S094,UPG-EG22-S094,UPG-EG22-S094,,UPG-EG22-W377,UPG-EG22-W373,UPG-EG22-W369,,,,,,,,,,,,,,
,,,,,,UPG-EG22-S095,UPG-EG22-S095,UPG-EG22-S095,,UPG-EG22-W378,UPG-EG22-W374,UPG-EG22-W370,,,,,,,,,,,,,,
