extract1,extract2,extract3,extract4,extract5,extract6,pcrSV019,pcrSV020,pcrSV021,pcrTM018,pcrSV023,pcrSV016,prcSV017,pcrSV018,neg_water_Laelae,neg_water_BarangBaringan,neg_water_K.keke,neg_water_Samalona,neg_water_Langkadea,neg_water_Karanrang,neg_water_Langkai,neg_water_Badi,neg_water_Kapoposang,neg_water_Lumulumu,neg_water_Polewali,neg_water_Padjenekang,neg_aqua
,UPG-EG22-S088,UPG-EG22-S092,UPG-EG22-S026,UPG-EG22-S028,UPG-EG22-S048,UPG-EG22-S010,UPG-EG22-S010,UPG-EG22-S010,UPG-EG22-S100,UPG-EG22-W206,UPG-EG22-W304,UPG-EG22-W037,UPG-EG22-W123,UPG-EG22-W215,UPG-EG22-W188,UPG-EG22-W131,UPG-EG22-W053,UPG-EG22-W155,UPG-EG22-W164,UPG-EG22-W029,UPG-EG22-W062,UPG-EG22-W257,UPG-EG22-W293,UPG-EG22-W314,UPG-EG22-W333,UPG-EG22-W203
,UPG-EG22-S089,UPG-EG22-S093,UPG-EG22-S032,UPG-EG22-S029,UPG-EG22-S049,UPG-EG22-S011,UPG-EG22-S011,UPG-EG22-S011,UPG-EG22-S101,UPG-EG22-W209,UPG-EG22-W307,UPG-EG22-W040,UPG-EG22-W126,UPG-EG22-W216,UPG-EG22-W189,UPG-EG22-W132,UPG-EG22-W054,UPG-EG22-W156,UPG-EG22-W165,UPG-EG22-W030,UPG-EG22-W063,UPG-EG22-W258,UPG-EG22-W294,UPG-EG22-W315,UPG-EG22-W345,UPG-EG22-W204
,UPG-EG22-S094,UPG-EG22-S095,UPG-EG22-S047,UPG-EG22-S030,UPG-EG22-S050,UPG-EG22-S012,UPG-EG22-S012,UPG-EG22-S012,UPG-EG22-S102,UPG-EG22-W212,UPG-EG22-W310,UPG-EG22-W043,UPG-EG22-W129,UPG-EG22-W223,UPG-EG22-W196,UPG-EG22-W109,UPG-EG22-W031,UPG-EG22-W139,UPG-EG22-W172,UPG-EG22-W007,UPG-EG22-W070,UPG-EG22-W236,UPG-EG22-W268,UPG-EG22-W301,UPG-EG22-W340,UPG-EG22-W265
,UPG-EG22-S098,UPG-EG22-S096,UPG-EG22-S053,UPG-EG22-S031,UPG-EG22-S051,UPG-EG22-S013,UPG-EG22-S013,UPG-EG22-S013,UPG-EG22-S103,UPG-EG22-W215,UPG-EG22-W313,UPG-EG22-W046,UPG-EG22-W132,UPG-EG22-W224,UPG-EG22-W197,UPG-EG22-W110,UPG-EG22-W032,UPG-EG22-W140,UPG-EG22-W173,UPG-EG22-W008,UPG-EG22-W071,UPG-EG22-W237,UPG-EG22-W269,UPG-EG22-W302,UPG-EG22-W341,UPG-EG22-W266
,UPG-EG22-S102,UPG-EG22-S097,UPG-EG22-S058,UPG-EG22-S033,UPG-EG22-S065,UPG-EG22-S014,UPG-EG22-S014,UPG-EG22-S014,UPG-EG22-S104,UPG-EG22-W218,UPG-EG22-W316,UPG-EG22-W049,UPG-EG22-W135,UPG-EG22-W225,UPG-EG22-W198,UPG-EG22-W111,UPG-EG22-W033,UPG-EG22-W141,UPG-EG22-W174,UPG-EG22-W009,UPG-EG22-W072,UPG-EG22-W238,UPG-EG22-W270,UPG-EG22-W303,UPG-EG22-W342,UPG-EG22-W267
,UPG-EG22-S103,UPG-EG22-S099,UPG-EG22-S059,UPG-EG22-S034,UPG-EG22-S067,UPG-EG22-S015,UPG-EG22-S015,UPG-EG22-S015,UPG-EG22-S106,UPG-EG22-W221,UPG-EG22-W319,UPG-EG22-W052,UPG-EG22-W138,UPG-EG22-W226,UPG-EG22-W199,UPG-EG22-W112,UPG-EG22-W034,UPG-EG22-W142,UPG-EG22-W175,UPG-EG22-W010,UPG-EG22-W073,UPG-EG22-W235,UPG-EG22-W271,UPG-EG22-W304,UPG-EG22-W331,UPG-EG22-W208
,UPG-EG22-S107,UPG-EG22-S101,UPG-EG22-S061,UPG-EG22-S035,UPG-EG22-S068,UPG-EG22-S016,UPG-EG22-S016,UPG-EG22-S016,UPG-EG22-S107,UPG-EG22-W224,UPG-EG22-W322,UPG-EG22-W055,UPG-EG22-W141,UPG-EG22-W227,UPG-EG22-W200,UPG-EG22-W113,UPG-EG22-W035,UPG-EG22-W143,UPG-EG22-W176,UPG-EG22-W011,UPG-EG22-W074,UPG-EG22-W239,UPG-EG22-W272,UPG-EG22-W305,UPG-EG22-W343,UPG-EG22-W209
,UPG-EG22-S108,UPG-EG22-S104,UPG-EG22-S066,UPG-EG22-S036,UPG-EG22-S070,UPG-EG22-S017,UPG-EG22-S017,UPG-EG22-S017,UPG-EG22-S108,UPG-EG22-W227,UPG-EG22-W325,UPG-EG22-W058,UPG-EG22-W144,UPG-EG22-W228,UPG-EG22-W201,UPG-EG22-W114,UPG-EG22-W036,UPG-EG22-W144,UPG-EG22-W177,UPG-EG22-W012,UPG-EG22-W075,UPG-EG22-W240,UPG-EG22-W273,UPG-EG22-W306,UPG-EG22-W344,UPG-EG22-W210
,UPG-EG22-S109,UPG-EG22-S106,UPG-EG22-S069,UPG-EG22-S037,UPG-EG22-S076,UPG-EG22-S018,UPG-EG22-S018,UPG-EG22-S018,UPG-EG22-S109,UPG-EG22-W230,UPG-EG22-W328,UPG-EG22-W061,UPG-EG22-W147,UPG-EG22-W229,,UPG-EG22-W115,UPG-EG22-W037,UPG-EG22-W145,UPG-EG22-W178,UPG-EG22-W013,UPG-EG22-W076,UPG-EG22-W241,UPG-EG22-W274,UPG-EG22-W307,UPG-EG22-W346,UPG-EG22-W232
,extract_neg2,extract_neg3,extract_neg4,extract_neg5,UPG-EG22-S081,UPG-EG22-S019,UPG-EG22-S019,UPG-EG22-S019,UPG-EG22-S121,UPG-EG22-W233,UPG-EG22-W331,UPG-EG22-W064,UPG-EG22-W150,UPG-EG22-W230,,UPG-EG22-W116,UPG-EG22-W038,UPG-EG22-W146,UPG-EG22-W179,UPG-EG22-W014,UPG-EG22-W077,UPG-EG22-W242,UPG-EG22-W275,UPG-EG22-W308,UPG-EG22-W347,UPG-EG22-W233
